scientificName,englishName,class,orign,Edible fruit
(Carya cordiformis),Bitternut hickory,Deciduous,Native,Edible Tree
(Carya glabra var. odorata),Red hickory,Deciduous,Native,
(Carya laciniosa),Shellbark hickory,Deciduous,Native,Edible Tree
(Carya ovata),Shagbark hickory,Deciduous,Native,Edible Tree
(Castanea dentata),American chestnut,Deciduous,Native,Edible Tree
(Castanea mollissima),Chinese chestnut,Deciduous,Introduced,Edible Tree
(Catalpa bignonioides),Southern catalpa,Deciduous,Introduced,Edible Tree
(Catalpa speciosa),Northern catalpa,Deciduous,Introduced,
(Cedrus atlantica),Atlas cedar,Conifer,Introduced,
(Cedrus deodara),Deodar cedar,Conifer,Introduced,
(Cedrus libani),Cedar-of-Lebanon,Conifer,Introduced,
(Celtis occidentalis),Northern hackberry,Deciduous,Native,Edible Tree
(Celtis tenuifolia),Dwarf hackberry,Deciduous,Native,Edible Tree
(Cephalanthus occidentalis),Button-bush,Deciduous,Native,
(Cercidiphyllum japonicum),Katsura-tree,Deciduous,Introduced,
(Cercis canadensis),Redbud,Deciduous,Native,
(Chamaecyparis lawsoniana),Lawson-cypress,Conifer,Introduced,
(Chamaecyparis nootkatensis),Yellow-cedar,Conifer,Native,
(Chamaecyparis obtusa),Hinoki-cypress,Conifer,Introduced,
(Chamaecyparis pisifera),Sawara-cypress,Conifer,Introduced,
(Cladrastis lutea),Yellow-wood,Deciduous,Introduced,
(Cornus alternifolia),Alternate-leaf dogwood,Deciduous,Native,
(Cornus florida),Eastern flowering dogwood,Deciduous,Native,
(Cornus kousa),Kousa dogwood,Deciduous,Introduced,Edible Tree
(Cornus mas),Cornelian-cherry,Deciduous,Introduced,Edible Tree
(Cornus nuttallii),Western flowering dogwood,Deciduous,Native,
(Cornus officinalis),Japanese Dogwood,Deciduous,Introduced,Edible Tree
(Cornus sanguinea),Common Dogwood,Deciduous,Naturalized,
(Cornus sericea),Yellow-Twig Dogwood,Deciduous,Naturalized,
(Corylus americana),American hazel,Deciduous,Native,Edible Tree
(Corylus avellana),European filbert,Deciduous,Introduced,Edible Tree
(Corylus colurna),Turkish hazel,Deciduous,Introduced,Edible Tree
(Corylus cornuta),Beaked hazel,Deciduous,Native,Edible Tree
(Cotinus coggygria),Common smoke-tree,Deciduous,Introduced,
(Crataegus calpodendron),Pear hawthorn,Deciduous,Native,Edible Tree
